1.	de	9,999,518 	 65545.55 
    2.	la	6,277,560 	 41148.59 
    3.	que 	4,681,839 	 30688.85 
    4.	el	4,569,652 	 29953.48 
    5.	en	4,234,281 	 27755.16
    6.	y	4,180,279 	 27401.19 
    7.	a	3,260,939 	 21375.03 
    8.	los	2,618,657 	 17164.95 
    9.	se	2,022,514 	 13257.31 
    10.	del	1,857,225 	 12173.87 
    11.	las	1,686,741 	 11056.37 
    12.	un	1,659,827 	 10879.95 
    13.	por	1,561,904 	 10238.07 
    14.	con 	1,481,607 	  9711.74
    15.	no	1,465,503 	  9606.18
    16.	una 	1,347,603 	  8833.36
    17.	su	1,103,617 	  7234.06
    18.	para	1,062,152 	  6962.26
    19.	es	1,019,669 	  6683.79
    20.	al	  951,054	  6234.03
    21.	lo	  866,955	  5682.77
    22.	como 	  773,465	  5069.96
    23.	más 	  661,696	  4337.33
    24.	o	  542,284	  3554.60
    25.	pero	  450,512	  2953.04
    26.	sus 	  449,870	  2948.84
